model,accuracy,precision,recall,f1_score,roc_auc,fpr,train_time,predict_time
random_forest,0.988,0.0,0.0,0.0,0.90222334682861,0.0,0.9337997436523438,0.07807803153991699
xgboost,0.988,0.0,0.0,0.0,0.8978744939271256,0.0,1.9902129173278809,0.008562326431274414
