method,accuracy,precision,recall,f1_score,fpr,tpr,train_time,predict_time
zscore,0.5937,0.05658171615618424,0.8962962962962963,0.10644380910490434,0.4146968139773895,0.8962962962962963,0.0415346622467041,0.017901897430419922
iqr,0.5098,0.04247333069932833,0.7962962962962963,0.08064516129032258,0.49815005138746143,0.7962962962962963,0.1565570831298828,0.0038852691650390625
isolation_forest,0.82775,0.105620418137388,0.7203703703703703,0.18422922093298602,0.16927029804727647,0.7203703703703703,0.7312188148498535,0.15784263610839844
